hhid,round,gps_latitude,gps_longitude
1002,1,2.5,38.299999
1003,1,2.5999999,38.200001
1004,1,2.5999999,38.099998
1005,1,2.5999999,38.200001
1006,1,2.4000001,38.200001
1007,1,2.5999999,38
1008,1,2.4000001,38.099998
1009,1,2.4000001,38.099998
1010,1,2.4000001,38.200001
1011,1,2.4000001,38.200001
1012,1,2.4000001,38.200001
1013,1,2.4000001,38.200001
1014,1,2.4000001,38.200001
1015,1,2.4000001,38.200001
1016,1,2.5,38.200001
1017,1,2.4000001,38.200001
1018,1,2.4000001,38.200001
1019,1,2.4000001,38.200001
1020,1,2.5999999,38
1021,1,2.5,38.099998
1022,1,2.5,38.200001
1023,1,2.5999999,38.099998
1024,1,2.5999999,38.099998
1025,1,2.4000001,38.099998
1026,1,2.5,38.099998
1027,1,2.4000001,38.200001
1029,1,2.5,38.200001
1031,1,2.5,38.099998
1032,1,2.5,38.200001
1033,1,2.5,38.099998
1034,1,2.5,38.099998
1035,1,2.5,38.200001
1036,1,2.5,38.099998
1037,1,2.5,38.099998
1038,1,2.5,38.200001
1039,1,,
1043,1,2.5,38.099998
1045,1,2.5999999,38.099998
1047,1,2.5,38
2001,1,2.5,38.099998
2002,1,2.5,38.099998
2003,1,2.3,38.200001
2004,1,2.3,38.200001
2005,1,2.3,38.099998
2006,1,2.4000001,38.299999
2007,1,2.3,38.099998
2008,1,2.3,38.200001
2009,1,2.5,38.200001
2010,1,2.3,38.200001
2011,1,2.4000001,38.200001
2012,1,2.4000001,38.200001
2013,1,2.3,38.200001
2014,1,2.3,38.099998
2015,1,2.5,38.299999
2016,1,2.3,38.200001
2017,1,2.3,38.200001
2018,1,2.3,38.200001
2019,1,2.3,38.099998
2020,1,2.4000001,38.299999
2021,1,2.3,38.299999
2022,1,2.4000001,38.299999
2023,1,2.5,38.099998
2024,1,2.3,38.099998
2025,1,2.5,38.099998
2026,1,2.4000001,38.299999
2027,1,2.4000001,38.299999
2028,1,2.4000001,38.200001
2029,1,2.5,38.200001
2030,1,2.3,38.200001
2031,1,2.5,38.200001
2032,1,2.4000001,38.299999
2033,1,2.5,38.299999
2034,1,2.5,38.299999
2035,1,2.5,38.299999
2036,1,2.4000001,38.200001
2037,1,2.4000001,38.299999
2038,1,2.4000001,38.299999
2039,1,2.4000001,38.099998
2040,1,2.4000001,38.099998
2041,1,2.4000001,38.099998
2042,1,2.5999999,38.099998
2043,1,2.5,38.299999
2044,1,2.3,38.099998
2045,1,2.4000001,38.099998
2046,1,2.4000001,38.099998
2047,1,2.4000001,38.200001
2048,1,2.4000001,38.099998
2049,1,2.3,38.099998
2050,1,2.5,38.099998
2051,1,2.4000001,38.099998
2052,1,2.4000001,38.099998
2053,1,2.4000001,38.099998
2054,1,2.4000001,38.099998
2055,1,2.4000001,38.200001
2056,1,2.5,38.099998
2057,1,2.4000001,38.200001
2058,1,2.4000001,38.099998
2059,1,2.4000001,38.200001
2060,1,2.4000001,38.099998
2061,1,2.4000001,38.099998
2062,1,2.4000001,38.200001
2063,1,2.4000001,38.099998
2064,1,2.4000001,38.200001
2065,1,2.4000001,38.200001
2066,1,2.4000001,38.099998
2067,1,2.4000001,38.099998
2068,1,2.4000001,38.099998
2069,1,2.4000001,38.099998
2070,1,2.4000001,38.099998
2071,1,2.4000001,38.099998
2072,1,2.4000001,38.099998
2073,1,2.4000001,38.099998
2074,1,2.4000001,38.099998
2075,1,2.4000001,38.099998
2076,1,2.3,38.299999
2077,1,2.4000001,38.200001
2078,1,2.4000001,38.099998
2079,1,2.4000001,38.200001
2080,1,2.4000001,38.099998
2081,1,2.4000001,38.099998
2082,1,2.3,38.299999
2083,1,2.4000001,38.099998
2084,1,2.4000001,38.200001
2085,1,2.3,38.299999
2086,1,2.3,38.099998
2087,1,2.3,38.200001
2088,1,2.5,38.200001
2089,1,2.4000001,38.200001
2090,1,2.3,38.299999
2091,1,2.4000001,38.099998
2092,1,2.4000001,38.200001
2093,1,2.3,38.200001
2094,1,2.3,38.099998
2095,1,2.3,38.099998
2096,1,2.4000001,38.099998
2097,1,2.3,38.299999
3001,1,2.5999999,38.200001
3002,1,2.5999999,38.200001
3003,1,2.5999999,38.200001
3005,1,2.5999999,38.200001
3006,1,2.5999999,38.200001
3007,1,2.5999999,38.200001
3008,1,2.5999999,38.299999
3009,1,2.5,38.099998
3010,1,2.5999999,38.200001
3011,1,2.5999999,38.200001
3012,1,2.5999999,38.200001
3013,1,2.5999999,38.200001
3015,1,2.4000001,38.099998
3016,1,2.4000001,38.099998
3018,1,2.4000001,38.200001
3019,1,2.4000001,38.099998
3020,1,2.4000001,38.200001
3021,1,2.4000001,38.200001
3022,1,2.4000001,38.099998
3023,1,2.4000001,38.099998
3024,1,2.4000001,38.099998
3026,1,2.5,38.200001
3027,1,2.5,38.200001
3028,1,2.4000001,38.299999
3029,1,2.5,38.200001
3030,1,2.4000001,38.099998
3031,1,2.5,38.099998
3033,1,2.5999999,38.299999
3034,1,2.4000001,38.099998
3035,1,2.5999999,38.200001
4001,1,2.9000001,38.299999
4002,1,2.9000001,38.299999
4003,1,2.8,38.200001
4004,1,2.8,38.200001
4005,1,2.8,38.200001
4006,1,2.8,36.799999
4007,1,2.8,38.200001
4009,1,2.8,38.099998
4010,1,2.8,38.099998
4011,1,2.8,38.099998
4012,1,2.8,38.099998
4013,1,3.0999999,38.200001
4014,1,3.0999999,38.299999
4015,1,3.0999999,38.200001
4016,1,2.7,38.299999
4017,1,2.7,38.299999
4019,1,3,38.099998
4020,1,3,38.099998
4021,1,3,38.299999
4022,1,3,38.299999
4023,1,3,38.299999
4024,1,3,38.299999
4025,1,2.9000001,38.299999
4026,1,2.9000001,38.299999
4027,1,2.9000001,38.299999
4028,1,2.9000001,38.299999
4029,1,2.9000001,38.299999
4030,1,2.9000001,38.200001
4031,1,3,38.099998
4032,1,,
4033,1,2.7,38.299999
4034,1,2.7,38.400002
4035,1,2.9000001,38.099998
4036,1,2.9000001,38.099998
4037,1,2.8,38.099998
4038,1,2.8,38.099998
4039,1,2.9000001,38.099998
4040,1,2.8,38.099998
4041,1,2.8,38.099998
4042,1,,
4043,1,2.8,38.099998
4044,1,2.9000001,38.099998
4045,1,3,38.400002
4046,1,3,38.299999
4047,1,3,38.299999
4048,1,3,38.299999
4049,1,2.9000001,38.099998
4050,1,2.9000001,38.099998
4051,1,3,38.299999
4052,1,3,38.299999
4053,1,2.7,38.299999
4054,1,2.9000001,38.200001
4055,1,3,38.400002
4056,1,3,38.400002
4057,1,2.8,38.200001
4058,1,2.8,38.200001
4059,1,2.9000001,38.200001
4060,1,3,38.299999
4061,1,2.9000001,38.200001
4062,1,2.9000001,38.299999
4063,1,2.9000001,38.299999
4064,1,2.8,38.299999
4065,1,2.8,38.299999
4066,1,2.8,38.299999
4067,1,3,38.299999
4068,1,2.8,38.299999
4069,1,2.8,38.299999
4070,1,2.8,38.299999
4071,1,2.8,38.299999
4072,1,2.8,38.400002
4073,1,2.8,38.099998
4074,1,2.8,38.099998
4075,1,2.8,38.099998
4076,1,2.9000001,38.099998
4078,1,2.8,38.099998
4079,1,2.8,38.099998
5001,1,3.4000001,37.400002
5002,1,3.4000001,37.400002
5005,1,3.4000001,37.400002
5008,1,3.5,37.5
5009,1,3.4000001,37.299999
5010,1,3.3,37.5
5011,1,,
5012,1,,
5013,1,,
5015,1,,
5016,1,3.3,37.5
5018,1,,
5019,1,3.7,37.5
5020,1,3.7,37.5
5021,1,3.7,37.5
5022,1,3.5,37.299999
5024,1,3.7,37.5
5025,1,3.7,37.299999
5027,1,3.5,37.5
5028,1,3.5,37.700001
5029,1,3.5,37.700001
5030,1,3.4000001,37.299999
5031,1,3.7,37.599998
5034,1,3.4000001,37.299999
5037,1,3.4000001,37.5
5038,1,3.5,37.700001
5041,1,3.7,37.599998
5042,1,3.5999999,37.700001
5043,1,3.5999999,37.599998
5044,1,3.5999999,37.799999
5045,1,3.4000001,37.299999
5046,1,3.4000001,37.299999
5047,1,3.4000001,37.299999
5049,1,3.5999999,37.5
5050,1,3.5,37.5
5051,1,3.5,37.5
5052,1,3.5,37.5
5053,1,3.5,37.5
5054,1,3.4000001,37.299999
5055,1,3.4000001,37.299999
5056,1,3.4000001,37.299999
5057,1,3.5,37.5
5058,1,3.7,37.299999
5061,1,3.4000001,37.400002
5066,1,3.5,37.5
5067,1,,
5068,1,,
5069,1,,
5071,1,,
5072,1,,
5073,1,,
6001,1,3.3,37.599998
6002,1,3.3,37.599998
6004,1,3.3,37.599998
6005,1,3.3,37.599998
6007,1,3.3,37.599998
6008,1,3.3,37.599998
6009,1,3.3,37.599998
6010,1,3.3,37.599998
6011,1,3.3,37.599998
6012,1,3.4000001,37.5
6013,1,3.4000001,37.599998
6014,1,3.4000001,37.599998
6015,1,3.4000001,37.599998
6016,1,3.4000001,37.599998
6018,1,3.3,37.599998
6019,1,3.3,37.599998
6020,1,3.3,37.599998
6021,1,3.4000001,37.599998
6022,1,3.4000001,37.599998
6023,1,3.4000001,37.599998
6024,1,3.4000001,37.599998
6025,1,3.3,37.599998
6027,1,3.4000001,37.599998
6028,1,3.4000001,37.599998
6029,1,3.2,37.599998
6030,1,3.2,37.599998
6031,1,3.3,37.599998
6032,1,3.2,37.599998
6033,1,3.3,37.599998
6034,1,3.3,37.599998
6035,1,3.3,37.599998
6036,1,3.3,37.599998
6037,1,3.3,37.599998
6038,1,3.3,37.599998
6040,1,3.3,37.599998
6041,1,3.3,37.599998
6042,1,3.3,37.5
6043,1,3.3,37.5
6044,1,3.4000001,37.5
6045,1,3.4000001,37.599998
6046,1,3.3,37.5
6047,1,3.2,37.599998
6048,1,3.2,37.599998
6049,1,3.2,37.700001
6050,1,3.3,37.700001
