hhid,round,TLU_class,weight,slocid,panelnewhh,enumerator,interview_yr,interview_month,interview_day,hh_head_clanCODED,hh_head_ethnic_group,hh_head_ethnic_group_other,district,division,location,sublocation_16,villageCODED,village_otherCODED,contact_id,contact_relation,contact_relation_other,relationhhead,headchange,codeinterviewee,codeintervieweecnsption,sameinterviewee,notsameinterviewee,interviewee_same,consumption_interviewee_same,supervisor_decision,interviewee_id_changed,interviewee_id_cons_changed,householdmove2009,movetowhere,sublocation_previous,sublocation_confirmed,moved_sublocation,new_sublocation,sublocation_other,village_previous,village_confirmedCODED,s1q6_old,s1q6_old_other,moved500m,s2q15,s2q18,s2q19,interviewee_newhh,s6q1a,s6q1b,s6q1c,s6q1d,s6q1e,s6q1f,s6q1g,s6b_comment,s6q19,lossaccountedyn,s6q26,intakeaccountedyn,s6q35,offaccountedyn,s6q44,birthyn,s6q48,slaughteryn,s9q1,s9q2,s9q3,s9q4,s10q7,s10q8,s10q9,s10q10,nw_codeintervieweecnsption,supervisor,respondent_located_yn,respondent_located_n_why,respondent_located_n_why_other,respondent_located_n_phone_yn,fit_for_interview,fit_for_interview_other,previoussurvey_yn,current_residence_sublocation,current_residence_sublocation_ot,current_residence_villageCODED,current_residence_manyatta_CODED,location_home
1002,1,M,1.6666666,DAKABARICHA,,,2009,11,10,54,Borana,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,No,,Yes,,Yes,,Yes,No,No,No,,,,,1,,,,,,,,,,,,,
1002,2,M,1.6666666,DAKABARICHA,,,2010,11,2,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,101,,1,,,,No,1,1,Yes,,,,,,,No,,,,,,,,,,,No,No,,No,,,,,,,,,,No,,Yes,,No,,Yes,,No,,No,No,No,No,,,,,1,,,,,,,,,,,,,
1002,3,M,1.6666666,DAKABARICHA,repeat household,314,2011,11,7,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,No,103,,,No,,,No,,,,,,,,,,Yes,,No,,Yes,,Yes,,No,,Yes,No,No,No,No,N,N,N,2,4,,,,,,,,,,,,
1002,4,M,1.8181819,DAKABARICHA,repeat household,408,2012,10,24,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,No,,No,,No,,No,,No,,Yes,Yes,Yes,Yes,No,N,N,N,2,5,,,,,,,,,,,,
1002,5,M,1.8181819,DAKABARICHA,repeat household,534,2013,10,24,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,No,Yes,Comment removed,2,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,,Yes,Yes,No,Yes,No,,,,2,8,,,,,,,,,,,,
1002,6,M,1.6666666,DAKABARICHA,repeat household,615,2015,10,9,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,Outside assistance,N,N,N,Y,"Yes, we made monetary payment",Base camp,,,,,,,,,Yes,,,No,No,No,Yes,No,,,,2,4,,,,,,,,,,,,
1002,7,M,1.6666666,DAKABARICHA,repeat household,715,2020,10,5,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,Yes,,,,,,,,Yes,,,,Yes,,Yes,DAKABARICHA,,103,,"Yes, permanent home (within 200 meters)"
1003,1,L,39.07143,DAKABARICHA,,,2009,11,10,151,Borana,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,-97,,MOTHER,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,No,,Yes,,Yes,,No,No,No,No,,,,,1,,,,,,,,,,,,,
1003,2,L,39.07143,DAKABARICHA,,,2010,10,30,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,101,,-97,Mother,,,No,1,1,Yes,,,,,,,No,,,,,,,,,,,No,No,,No,,,,,,,,,,No,,No,,Yes,,Yes,,No,,No,No,No,No,,,,,1,,,,,,,,,,,,,
1003,3,L,39.07143,DAKABARICHA,repeat household,306,2011,11,4,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,17,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,No,-97,,,No,,,No,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,No,,Yes,Yes,Yes,Yes,No,N,N,N,1,4,,,,,,,,,,,,
1003,4,L,34.1875,DAKABARICHA,repeat household,434,2012,10,24,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,Yes,,,,,,,,,,No,,Yes,Yes,No,,Yes,Yes,No,,No,Yes,Yes,Yes,No,N,N,N,1,6,,,,,,,,,,,,
1003,5,L,36.466667,DAKABARICHA,repeat household,535,2013,10,29,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,,No,No,No,No,No,,,,1,8,,,,,,,,,,,,
1003,6,L,34.1875,DAKABARICHA,repeat household,612,2015,10,9,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,Outside assistance,N,N,N,N,"Yes, we made monetary payment",Both base and satelite camps,,,,,,,,,Yes,,,Yes,Yes,No,Yes,Yes,N,Y,N,1,4,,,,,,,,,,,,
1003,7,L,34.1875,DAKABARICHA,repeat household,711,2020,10,17,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,Yes,,,,Yes,,Yes,DAKABARICHA,,1716,,"No, this is just where we meet (e.g., school, market, clinic, water point), (mor"
1004,1,M,1.6666666,DAKABARICHA,,,,,,160,Borana,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,15,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,No,,Yes,,Yes,,No,No,No,No,,,,,3,,,,,,,,,,,,,
1004,2,M,1.6666666,DAKABARICHA,,,2010,10,11,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,112,,2,Son,,,No,3,3,Yes,Contact ID NO. from previous survey was wrong the contact ID is 02.,,,,,,No,,,,,,,,,,,No,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,No,No,No,,,,,3,,,,,,,,,,,,,
1004,3,M,1.6666666,DAKABARICHA,repeat household,306,2011,11,10,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,No,No,Comment removed,1,1,,,Yes,,No,,,Yes,,,,No,,,Yes,,,,,,,,,,Yes,,No,,No,,No,,No,,No,No,No,No,No,N,N,N,1,4,,,,,,,,,,,,
1004,4,M,1.8181819,DAKABARICHA,repeat household,433,2012,10,24,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,No,,No,,No,,No,,No,,Yes,Yes,No,Yes,No,N,N,N,1,5,,,,,,,,,,,,
1004,5,M,1.8181819,DAKABARICHA,repeat household,507,2013,10,29,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,No,,Yes,Yes,No,,Yes,Yes,No,,No,No,No,No,No,,,,1,8,,,,,,,,,,,,
1004,6,M,1.6666666,DAKABARICHA,repeat household,638,2014,8,18,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,,,,1,4,,,,,,,,,,,,
1004,7,M,1.6666666,DAKABARICHA,repeat household,713,2020,10,28,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,Yes,,,,Yes,,Yes,DAKABARICHA,,112,,"Yes, permanent home (within 200 meters)"
1005,1,M,1.6666666,DAKABARICHA,,,2009,11,10,151,Borana,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,No,,Yes,,Yes,,No,No,No,No,,,,,1,,,,,,,,,,,,,
1005,2,M,1.6666666,DAKABARICHA,,,2010,10,30,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,101,,3,Son,,,No,1,1,Yes,,,,,,,No,,,,,,,,,,,No,No,,No,,,,,,,,,,Yes,,No,,Yes,,Yes,,No,,No,No,No,No,,,,,1,,,,,,,,,,,,,
1005,3,M,1.6666666,DAKABARICHA,repeat household,324,2011,11,4,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,Yes,,No,,Yes,,Yes,,No,,No,No,No,Yes,No,N,N,N,1,4,,,,,,,,,,,,
