hhid,round,comment,s1q1,s1q2,s1q3,s1q4a,s1q4b,s1q6,s1q6b,s1q7,s1q8,s1q9,s1q9b
1002,1,,Borana,4,Fully settled,22,,Not applicable,,,,,
1002,2,,,,Fully settled,,,,,,No,,
1002,3,0,,,Fully settled,,,,,,,,
1002,4,0,,,Fully settled,,,,,,,,
1002,5,0,,,Fully settled,,,,,,,,
1002,6,,,,Fully settled,,,,,,,,
1002,7,,,,Fully settled,,,,,,,,
1003,1,,Borana,4,Fully settled,14,,Marriage/moved out of parents home,,Same new district,,,
1003,2,,,,Fully settled,,,,,,No,,
1003,3,0,,,Fully settled,,,,,,,,
1003,4,0,,,Fully settled,,,,,,,,
1003,5,0,,,Fully settled,,,,,,,,
1003,6,,,,Partially settled,,,,,,,,
1003,7,,,,Fully settled,,,,,,,,
1004,1,,Borana,2,Fully settled,6,,Other (specify),RENTAL HOUSE,Same new district,,,
1004,2,,,,Fully settled,,,,,,No,,
1004,3,0,,,Fully settled,,,,,,,,
1004,4,0,,,Fully settled,,,,,,,,
1004,5,0,,,Fully settled,,,,,,,,
1004,6,,,,Fully settled,,,,,,,,
1004,7,,,,Fully settled,,,,,,,,
1005,1,,Borana,4,Fully settled,35,,Not applicable,,,,,
1005,2,,,,Fully settled,,,,,,No,,
1005,3,0,,,Fully settled,,,,,,,,
1005,4,0,,,Fully settled,,,,,,,,
1005,5,0,,,Fully settled,,,,,,,,
1005,6,,,,Fully settled,,,,,,,,
1005,7,,,,Fully settled,,,,,,,,
1006,1,,Borana,4,Fully settled,30,,Not applicable,,,,,
1006,2,,,,Fully settled,,,,,,No,,
1006,3,0,,,Fully settled,,,,,,,,
1006,4,0,,,Fully settled,,,,,,,,
1006,5,0,,,Fully settled,,,,,,,,
1006,6,,,,Fully settled,,,,,,,,
1006,7,,,,Fully settled,,,,,,,,
1007,1,,Borana,4,Fully settled,40,,Not applicable,,,,,
1007,2,,,,Fully settled,,,,,,No,,
1007,3,0,,,Fully settled,,,,,,,,
1007,4,0,,,Fully settled,,,,,,,,
1007,5,0,,,Fully settled,,,,,,,,
1007,6,,,,Fully settled,,,,,,,,
1007,7,,,,Fully settled,,,,,,,,
1008,1,,Borana,1,Fully settled,30,,Not applicable,,,,,
1008,2,,,,Fully settled,,,,,,No,,
1008,3,0,,,Fully settled,,,,,,,,
1008,4,0,,,Fully settled,,,,,,,,
1008,5,0,,,Fully settled,,,,,,,,
1008,6,,,,Fully settled,,,,,,,,
1008,7,,,,Fully settled,,,,,,,,
1009,1,,Borana,4,Fully settled,30,,Not applicable,,,,,
1009,2,,,,Fully settled,,,,,,No,,
1009,3,0,,,Fully settled,,,,,,,,
1009,4,0,,,Fully settled,,,,,,,,
1009,5,0,,,Fully settled,,,,,,,,
1009,6,,,,Fully settled,,,,,,,,
1009,7,,,,Fully settled,,,,,,,,
1010,1,,Borana,1,Fully settled,14,,Other (specify),FROM RENTAL HOUSE,Elsewhere in Kenya,,,
1010,2,,,,Fully settled,,,,,,No,,
1010,3,0,,,Fully settled,,,,,,,,
1010,4,0,,,Fully settled,,,,,,,,
1010,5,0,,,Fully settled,,,,,,,,
1010,6,,,,Fully settled,,,,,,,,
1010,7,,,,Fully settled,,,,,,,,
1011,1,,Borana,3,Fully settled,2,,Other (specify),FROM RENTAL HOUSE,Same new district,,,
1011,2,,,,Fully settled,,,,,,No,,
1011,3,0,,,Fully settled,,,,,,,,
1011,4,0,,,Fully settled,,,,,,,,
1011,5,0,,,Fully settled,,,,,,,,
1011,6,,,,Fully settled,,,,,,,,
1011,7,,,,Fully settled,,,,,,,,
1012,1,,Borana,3,Fully settled,1,,Looking for work,,Same new district,,,
1012,2,,,,Fully settled,,,,,,No,,
1012,3,0,,,Fully settled,,,,,,,,
1012,4,0,,,Fully settled,,,,,,,,
1012,5,0,,,Fully settled,,,,,,,,
1012,6,,,,Partially settled,,,,,,,,
1012,7,,,,Fully settled,,,,,,,,
1013,1,,Borana,1,Fully settled,15,,Marriage/moved out of parents home,,Same new district,,,
1013,2,,,,Fully settled,,,,,,No,,
1013,3,0,,,Fully settled,,,,,,,,
1013,4,0,,,Fully settled,,,,,,,,
1013,5,0,,,Partially settled,,,,,,,,
1013,6,,,,Fully settled,,,,,,,,
1013,7,,,,Fully settled,,,,,,,,
1014,1,,Borana,4,Fully settled,20,4,Not applicable,,,,,
1014,2,,,,Fully settled,,,,,,No,,
1014,3,0,,,Fully settled,,,,,,,,
1014,4,0,,,Fully settled,,,,,,,,
1014,5,0,,,Fully settled,,,,,,,,
1014,6,,,,Partially settled,,,,,,,,
1014,7,,,,Fully settled,,,,,,,,
1015,1,,Borana,4,Fully settled,23,,Not applicable,,,,,
1015,2,,,,Fully settled,,,,,,No,,
1015,3,0,,,Fully settled,,,,,,,,
1015,4,0,,,Fully settled,,,,,,,,
1015,5,0,,,Fully settled,,,,,,,,
1015,6,,,,Fully settled,,,,,,,,
1015,7,,,,Fully settled,,,,,,,,
1016,1,,Borana,3,Fully settled,9,,Other (specify),RENTAL HOUSE,Same new district,,,
1016,2,,,,Fully settled,,,,,,No,,
1016,3,0,,,Fully settled,,,,,,,,
1016,4,0,,,Fully settled,,,,,,,,
1016,5,0,,,Fully settled,,,,,,,,
1016,6,,,,Fully settled,,,,,,,,
