hhid,round,comment,foodclass,foodtype,s11q2,s11q6a,s11q7
1002,6,0,CEREALS,Maize - grain,Yes,SELF PRODUCTION,Two days
1002,6,0,CEREALS,Maize - flour (pre-packed),No,,
1002,6,0,CEREALS,Maize - flour (Posho),Yes,SELF PRODUCTION,Seven days
1002,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Seven days
1002,6,0,CEREALS,Rice,Yes,PURCHASE,Three days
1002,6,0,CEREALS,"Other cereals (grains, pasta, bread)",No,,
1002,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Seven days
1002,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Five days
1002,6,0,EGGS,Eggs,Yes,SELF PRODUCTION,Three days
1002,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,SELF PRODUCTION,Seven days
1002,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Four days
1002,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1002,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1002,6,0,OILS AND FATS,Cooking fat (solids),No,,
1002,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1002,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1002,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1002,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1002,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Seven days
1002,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",No,,
1002,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,SELF PRODUCTION,Seven days
1002,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1002,6,0,DRINKS,Other drinks,Yes,PURCHASE,Five days
1002,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1002,6,0,OTHER,Chat/qat/miraa,Yes,SELF PRODUCTION,Two days
1002,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",Yes,PURCHASE,Seven days
1002,6,0,WILD FOOD,Wild food,No,,
1003,6,0,CEREALS,Maize - grain,Yes,SELF PRODUCTION,One day
1003,6,0,CEREALS,Maize - flour (pre-packed),Yes,PURCHASE,Two days
1003,6,0,CEREALS,Maize - flour (Posho),Yes,SELF PRODUCTION,Three days
1003,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Three days
1003,6,0,CEREALS,Rice,Yes,PURCHASE,Four days
1003,6,0,CEREALS,"Other cereals (grains, pasta, bread)",No,,
1003,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Six days
1003,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Seven days
1003,6,0,EGGS,Eggs,No,,
1003,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,SELF PRODUCTION,Seven days
1003,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Three days
1003,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1003,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1003,6,0,OILS AND FATS,Cooking fat (solids),No,,
1003,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1003,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1003,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1003,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1003,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Six days
1003,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Four days
1003,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Seven days
1003,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1003,6,0,DRINKS,Other drinks,No,,
1003,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1003,6,0,OTHER,Chat/qat/miraa,Yes,SELF PRODUCTION,One day
1003,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1003,6,0,WILD FOOD,Wild food,No,,
1004,6,0,CEREALS,Maize - grain,No,,
1004,6,0,CEREALS,Maize - flour (pre-packed),Yes,PURCHASE,Three days
1004,6,0,CEREALS,Maize - flour (Posho),No,,
1004,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Six days
1004,6,0,CEREALS,Rice,Yes,PURCHASE,Three days
1004,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Four days
1004,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Five days
1004,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Three days
1004,6,0,EGGS,Eggs,Yes,SELF PRODUCTION,Four days
1004,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1004,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Three days
1004,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1004,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1004,6,0,OILS AND FATS,Cooking fat (solids),No,,
1004,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1004,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
