hhid,round,foodclassR7,s11q2c,s11q2d
1002,7,None / Only water,No,
1002,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1002,7,White roots and tubers,No,
1002,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),Yes,
1002,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1002,7,"Other vegetables (e.g., cabbage)",Yes,
1002,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1002,7,"Other fruits (e.g., banana, watermelon)",No,
1002,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1002,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1002,7,Eggs,No,
1002,7,Fish and seafood,No,
1002,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
1002,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1002,7,Oils and fats,No,
1002,7,Sweets,No,
1002,7,"Spices, condiments, beverages",No,
1003,7,None / Only water,No,No
1003,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1003,7,White roots and tubers,No,No
1003,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1003,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,No
1003,7,"Other vegetables (e.g., cabbage)",No,No
1003,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1003,7,"Other fruits (e.g., banana, watermelon)",No,No
1003,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1003,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
1003,7,Eggs,No,No
1003,7,Fish and seafood,No,No
1003,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
1003,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1003,7,Oils and fats,No,No
1003,7,Sweets,No,No
1003,7,"Spices, condiments, beverages",No,No
1004,7,None / Only water,No,No
1004,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1004,7,White roots and tubers,No,No
1004,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),Yes,Yes
1004,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,Yes
1004,7,"Other vegetables (e.g., cabbage)",No,No
1004,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1004,7,"Other fruits (e.g., banana, watermelon)",No,No
1004,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1004,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,Yes
1004,7,Eggs,No,No
1004,7,Fish and seafood,No,No
1004,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1004,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1004,7,Oils and fats,Yes,Yes
1004,7,Sweets,No,No
1004,7,"Spices, condiments, beverages",No,No
1005,7,None / Only water,No,No
1005,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1005,7,White roots and tubers,No,No
1005,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1005,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,No
1005,7,"Other vegetables (e.g., cabbage)",No,No
1005,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1005,7,"Other fruits (e.g., banana, watermelon)",No,No
1005,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1005,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
1005,7,Eggs,No,No
