hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
1002,1,,,,Mud/Dung,,Wood,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1002,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1002,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,8,,No,Unprotected well,,Yes
1002,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1002,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,Yes,Public tap,,No
1003,1,,,,Brick/Block/Cement,,Cement,,4,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1003,3,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,2,Yes,Water tanker,,Yes
1003,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,Yes
1003,5,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
1003,6,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,Yes,Unprotected well,,No
1004,1,,,,Brick/Block/Cement,,Cement,,3,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Water tanker,,No
1004,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,2,,Yes,Water tanker,,No
1004,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,2,No,Rainwater catchment,,Yes
1004,5,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Rainwater catchment,,No
1004,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,2,No,Borehole,,No
1005,1,,,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Uncovered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1005,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,3,,No,Unprotected well,,Yes
1005,4,0,Remained the same,,,,,,,,,,,,,Protected well,,3,,Yes,Protected well,,Yes
1005,5,0,Remained the same,,,,,,,,,,,,,Pan,,3,,Yes,Unprotected well,,Yes
1005,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,5,Yes,Unprotected well,,No
1006,1,,,,Brick/Block/Cement,,Cement,,4,Traditional fire,Collected firewood,Solar,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Water tanker,,No
1006,3,0,improved,,Brick/Block/Cement,,Cement,,2,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Public tap,,0,20,Yes,Public tap,,No
1006,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Piped into dwelling or compound,,No
1006,5,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Rainwater catchment,,No
