hhid,round,comment,contract_id,s15q19,s15q19_b,s15q19_1,s15q19_2,s15q40,s15q35,s15q22,s15q22a,s15q22b,s15q22c,s15q39,s15q39_r6,s15q39_r7,s15q39_a,s15q54,s15q55a,s15q55b,s15q56
1002,2,,1,Jan-Feb current year,,.b,.b,No,,,4,0,0,,,,,,,,
1002,3,0,1,Aug-Sept current year,,1,683,,,Yes,2,0,0,Central and Gadamoji,,,,,,,
1002,4,0,1,Aug-Sept current year,,1,400,Yes,30%,,3,0,0,Central and Gadamoji,,,,,,,
1003,7,,,,Jan/Feb 2015,1,,,,,0,0,4,,,Central Marsabit,,,,,
1004,3,0,1,Aug-Sept current year,,1,1180,,,,3,0,0,Central and Gadamoji,,,,,,,
1004,5,0,1,Jan-Feb current year,,1,1700,,,No,5,0,0,Central and Gadamoji,,,15%,,,,
1004,7,,,,Jan/Feb 2012,1,,,,,3,0,0,,,Central Marsabit,,,,,
1005,3,0,1,Jan-Feb current year,,1,488,,,,0,0,10,Central and Gadamoji,,,,Yes,24,October,1650
1005,3,0,2,Aug-Sept current year,,1,780,,,Yes,4,0,0,Central and Gadamoji,,,,,,,
1005,4,0,1,Aug-Sept current year,,1,1950,No,,,4,0,0,Central and Gadamoji,,,,,,,
1005,7,,,,Aug/Sept 2012,1,,,,,4,0,0,,,Central Marsabit,,,,,
1006,2,,1,Jan-Feb current year,,1,976,No,,,20,0,0,,,,,,,,
1006,5,0,1,Jan-Feb current year,,1,4388,,,Yes,15,0,0,Central and Gadamoji,,,15%,,,,
1006,5,0,2,Aug-Sept current year,,1,4240,,,Yes,10,0,0,Central and Gadamoji,,,10%,,,,
1006,7,,,,Aug/Sept 2012,1,,,,,8,0,25,,,Central Marsabit,,,,,
1007,3,0,1,Aug-Sept current year,,1,485,,,,1,0,0,Central and Gadamoji,,,,,,,
1007,4,0,1,Aug-Sept current year,,1,1000,No,,,1,0,0,Central and Gadamoji,,,,,,,
1007,7,,,,I don't know,1,,,,,.a,0,0,,,Central Marsabit,,,,,
1008,4,0,1,Aug-Sept current year,,1,500,Yes,I don't know,,6,0,0,Central and Gadamoji,,,,,,,
1008,5,0,1,Jan-Feb current year,,1,500,,,Yes,3,0,0,Central and Gadamoji,,,I don't know,,,,
1008,5,0,2,Aug-Sept current year,,1,2400,,,Yes,4,0,0,Central and Gadamoji,,,15%,,,,
1008,7,,,,I don't know,1,,,,,5,0,0,,,Central Marsabit,,,,,
1009,3,0,1,Aug-Sept current year,,1,1700,,,Yes,6,0,0,Central and Gadamoji,,,,,,,
1009,4,0,1,Aug-Sept current year,,1,1000,Yes,50%,,4,0,0,Central and Gadamoji,,,,,,,
1009,5,0,1,Jan-Feb current year,,1,482,,,Yes,6,0,0,Central and Gadamoji,,,15%,,,,
1009,7,,,,I don't know,1,,,,,18,0,100,,,Central Marsabit,,,,,
1013,2,,1,Jan-Feb current year,,1,.a,No,,,0,0,7,,,,,,,,
1013,5,0,1,Aug-Sept current year,,1,1690,,,No,4,0,0,Central and Gadamoji,,,15%,,,,
1014,7,,,,I don't know,1,,,,,4,0,0,,,Central Marsabit,,,,,
1016,7,,,,I don't know,1,,,,,2,0,0,,,Central Marsabit,,,,,
1017,2,,1,Jan-Feb current year,,3,976,No,,,2,0,0,,,,,,,,
1018,3,1,1,Jan-Feb current year,,1,2438,,,Yes,10,0,0,Central and Gadamoji,,,,Yes,26,October,16500
1018,5,0,1,Aug-Sept current year,,1,8000,,,Yes,2,0,0,Central and Gadamoji,,,10%,,,,
1019,3,0,1,Jan-Feb current year,,1,488,,,,1,0,0,Central and Gadamoji,,,,No,,,
1019,7,,,,Jan/Feb 2015,1,,,,,3,0,0,,,Central Marsabit,,,,,
1020,7,,,,I don't know,1,,,,,10,0,0,,,Central Marsabit,,,,,
1021,4,0,1,Aug-Sept current year,,1,1000,No,,,3,0,0,Central and Gadamoji,,,,,,,
1021,5,0,1,Jan-Feb current year,,1,400,,,Yes,1,0,0,Central and Gadamoji,,,15%,,,,
1021,5,0,2,Aug-Sept current year,,1,500,,,Yes,1,0,0,Central and Gadamoji,,,15%,,,,
1024,2,,1,Jan-Feb current year,,1,585,Yes,60%,,2,0,0,,,,,,,,
