hhid,round,comment,Ind_ID,Ind_ID_r7,s15q47c,s15q47g,s15q47h,s15q47i,s15q47k,Ind_ID_r7a,s15q47l,Ind_ID_r7b,s15q53aI,s15q53bI,s15q53b2,s15q53cU,s15q53c2
1002,3,0,Purchase food,,,,,,,,,,,,,1000,
1002,3,0,Education costs,,,,,,,,,,,,,2000,
1002,3,0,Purchase livestock,,,,,,,,,,,,,0,
1002,3,0,Production or operating costs,,,,,,,,,,,,,0,
1002,3,0,Health care expenses,,,,,,,,,,,,,0,
1002,3,0,Social obligations,,,,,,,,,,,,,0,
1002,3,0,Save,,,,,,,,,,,,,0,
1002,3,0,Share with others,,,,,,,,,,,,,0,
1002,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1002,3,0,Other (specify if other),,,,,,,,,,,,,0,
1002,4,0,Purchase food,,1600,2600,,,,,,,,,,,
1002,4,0,Education costs,,0,0,,,,,,,,,,,
1002,4,0,Purchase livestock,,0,0,,,,,,,,,,,
1002,4,0,Production or operating costs,,0,0,,,,,,,,,,,
1002,4,0,Health care expenses,,0,0,,,,,,,,,,,
1002,4,0,Social obligations,,0,0,,,,,,,,,,,
1002,4,0,Save,,0,0,,,,,,,,,,,
1002,4,0,Share with others,,0,0,,,,,,,,,,,
1002,4,0,Purchase Livestock Insurance (IBLI),,0,0,,,,,,,,,,,
1002,4,0,Other (specify if other),,0,0,,,,,,,,,,,
1002,6,0,Purchase food,,,,,,,,,,,,,,
1002,6,0,Education costs,,,,,,,,,,,,,,
1002,6,0,Purchase livestock,,,,,,,,,,,,,,
1002,6,0,Production or operating costs,,,,,,,,,,,,,,
1002,6,0,Health care expenses,,,,,,,,,,,,,,
1002,6,0,Social obligations,,,,,,,,,,,,,,
1002,6,0,Save,,,,,,,,,,,,,,
1002,6,0,Share with others,,,,,,,,,,,,,,
1002,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1002,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1002,6,0,Other (specify if other),,,,,,,,,,,,,,
1003,3,0,Purchase food,,,,,,,,,,,,,1500,
1003,3,0,Education costs,,,,,,,,,,,,,0,
1003,3,0,Purchase livestock,,,,,,,,,,,,,0,
1003,3,0,Production or operating costs,,,,,,,,,,,,,0,
1003,3,0,Health care expenses,,,,,,,,,,,,,0,
1003,3,0,Social obligations,,,,,,,,,,,,,0,
1003,3,0,Save,,,,,,,,,,,,,1500,
1003,3,0,Share with others,,,,,,,,,,,,,0,
1003,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1003,3,0,Other (specify if other),,,,,,,,,,,,,0,
1003,6,0,Purchase food,,,,,,,,,,,,,,
1003,6,0,Education costs,,,,,,,,,,,,,,
1003,6,0,Purchase livestock,,,,,,,,,,,,,,
1003,6,0,Production or operating costs,,,,,,,,,,,,,,
1003,6,0,Health care expenses,,,,,,,,,,,,,,
1003,6,0,Social obligations,,,,,,,,,,,,,,
1003,6,0,Save,,,,,,,,,,,,,,
1003,6,0,Share with others,,,,,,,,,,,,,,
1003,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1003,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1003,6,0,Other (specify if other),,,,,,,,,,,,,,
1004,3,0,Purchase food,,,,,,,,,,,,,0,
1004,3,0,Education costs,,,,,,,,,,,,,0,
1004,3,0,Purchase livestock,,,,,,,,,,,,,3000,
1004,3,0,Production or operating costs,,,,,,,,,,,,,0,
1004,3,0,Health care expenses,,,,,,,,,,,,,0,
1004,3,0,Social obligations,,,,,,,,,,,,,0,
1004,3,0,Save,,,,,,,,,,,,,0,
1004,3,0,Share with others,,,,,,,,,,,,,0,
1004,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1004,3,0,Other (specify if other),,,,,,,,,,,,,0,
1004,4,0,Purchase food,,,2700,,,,,,,,,,,
1004,4,0,Education costs,,,0,,,,,,,,,,,
1004,4,0,Purchase livestock,,,0,,,,,,,,,,,
1004,4,0,Production or operating costs,,,0,,,,,,,,,,,
1004,4,0,Health care expenses,,,0,,,,,,,,,,,
1004,4,0,Social obligations,,,0,,,,,,,,,,,
1004,4,0,Save,,,0,,,,,,,,,,,
1004,4,0,Share with others,,,1000,,,,,,,,,,,
1004,4,0,Purchase Livestock Insurance (IBLI),,,0,,,,,,,,,,,
1004,4,0,Other (specify if other),,,0,,,,,,,,,,,
1004,5,0,Purchase food,,,1700,,,,,,,,,,,
1004,5,0,Education costs,,,0,,,,,,,,,,,
1004,5,0,Purchase livestock,,,0,,,,,,,,,,,
1004,5,0,Production or operating costs,,,0,,,,,,,,,,,
1004,5,0,Health care expenses,,,0,,,,,,,,,,,
1004,5,0,Social obligations,,,0,,,,,,,,,,,
1004,5,0,Save,,,0,,,,,,,,,,,
1004,5,0,Share with others,,,0,,,,,,,,,,,
1004,5,0,Purchase Livestock Insurance (IBLI),,,0,,,,,,,,,,,
1004,5,0,Other (specify if other),,,0,,,,,,,,,,,
1004,6,0,Purchase food,,,,,,,,,,,,,,
1004,6,0,Education costs,,,,,,,,,,,,,,
1004,6,0,Purchase livestock,,,,,,,,,,,,,,
1004,6,0,Production or operating costs,,,,,,,,,,,,,,
1004,6,0,Health care expenses,,,,,,,,,,,,,,
1004,6,0,Social obligations,,,,,,,,,,,,,,
1004,6,0,Save,,,,,,,,,,,,,,
1004,6,0,Share with others,,,,,,,,,,,,,,
1004,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1004,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1004,6,0,Other (specify if other),,,,,,,,,,,,,,
1004,7,,,Other (specify),,,,,,,No,,,,,,
1004,7,,,Food for humans,,,,,,,No,,,,,,
1004,7,,,Water for humans,,,,,,,No,,,,,,
1004,7,,,Health services for humans,,,,,,,No,,,,,,
1004,7,,,Education/school fees,,,,,,,No,,,,,,
1004,7,,,Pay back debt,,,,,,,No,,,,,,
1004,7,,,Save,,,,,,,Yes,,,,,,
1004,7,,,Livestock purchases,,,,,,,No,,,,,,
1004,7,,,Livestock inputs: water,,,,,,,No,,,,,,
1004,7,,,Livestock inputs: forrage or fodder,,,,,,,No,,,,,,
1004,7,,,Livestock inputs: Vaccinate / vetrinary services,,,,,,,No,,,,,,
1004,7,,,Hiring labor for herding,,,,,,,No,,,,,,
1004,7,,,Livestock trucking\trekking\transportation,,,,,,,No,,,,,,
1004,7,,,Gave to others/ share,,,,,,,No,,,,,,
1004,7,,,"Ceremonies (e.g., weddings, funerals, religious events)",,,,,,,No,,,,,,
1005,3,0,Purchase food,,,,,,,,,,950,0,,,
1005,3,0,Education costs,,,,,,,,,,0,0,,,
1005,3,0,Purchase livestock,,,,,,,,,,0,0,,,
1005,3,0,Production or operating costs,,,,,,,,,,0,0,,,
1005,3,0,Health care expenses,,,,,,,,,,0,0,,,
1005,3,0,Social obligations,,,,,,,,,,0,0,,,
1005,3,0,Save,,,,,,,,,,500,0,,,
1005,3,0,Share with others,,,,,,,,,,0,0,,,
1005,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,0,0,,,
1005,3,0,Other (specify if other),,,,,,,,,,200,0,BOUGHT WASH BASIN,,
1005,4,0,Purchase food,,0,0,,,,,,,,,,,
1005,4,0,Education costs,,6000,6000,,,,,,,,,,,
1005,4,0,Purchase livestock,,0,0,,,,,,,,,,,
1005,4,0,Production or operating costs,,0,0,,,,,,,,,,,
1005,4,0,Health care expenses,,0,0,,,,,,,,,,,
1005,4,0,Social obligations,,0,0,,,,,,,,,,,
1005,4,0,Save,,0,0,,,,,,,,,,,
1005,4,0,Share with others,,0,0,,,,,,,,,,,
1005,4,0,Purchase Livestock Insurance (IBLI),,0,0,,,,,,,,,,,
1005,4,0,Other (specify if other),,0,0,,,,,,,,,,,
1005,6,0,Purchase food,,,,,,,,,,,,,,
1005,6,0,Education costs,,,,,,,,,,,,,,
1005,6,0,Purchase livestock,,,,,,,,,,,,,,
1005,6,0,Production or operating costs,,,,,,,,,,,,,,
1005,6,0,Health care expenses,,,,,,,,,,,,,,
1005,6,0,Social obligations,,,,,,,,,,,,,,
1005,6,0,Save,,,,,,,,,,,,,,
1005,6,0,Share with others,,,,,,,,,,,,,,
1005,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1005,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1005,6,0,Other (specify if other),,,,,,,,,,,,,,
1005,7,,,Other (specify),,,,,,,No,,,,,,
1005,7,,,Food for humans,,,,,,,No,,,,,,
1005,7,,,Water for humans,,,,,,,No,,,,,,
1005,7,,,Health services for humans,,,,,,,No,,,,,,
1005,7,,,Education/school fees,,,,,,,Yes,,,,,,
1005,7,,,Pay back debt,,,,,,,No,,,,,,
1005,7,,,Save,,,,,,,No,,,,,,
1005,7,,,Livestock purchases,,,,,,,No,,,,,,
1005,7,,,Livestock inputs: water,,,,,,,No,,,,,,
1005,7,,,Livestock inputs: forrage or fodder,,,,,,,No,,,,,,
1005,7,,,Livestock inputs: Vaccinate / vetrinary services,,,,,,,No,,,,,,
1005,7,,,Hiring labor for herding,,,,,,,No,,,,,,
1005,7,,,Livestock trucking\trekking\transportation,,,,,,,No,,,,,,
1005,7,,,Gave to others/ share,,,,,,,No,,,,,,
1005,7,,,"Ceremonies (e.g., weddings, funerals, religious events)",,,,,,,No,,,,,,
1006,3,0,Purchase food,,,,,,,,,,,,,2000,
1006,3,0,Education costs,,,,,,,,,,,,,0,
1006,3,0,Purchase livestock,,,,,,,,,,,,,0,
1006,3,0,Production or operating costs,,,,,,,,,,,,,0,
1006,3,0,Health care expenses,,,,,,,,,,,,,1000,
1006,3,0,Social obligations,,,,,,,,,,,,,0,
1006,3,0,Save,,,,,,,,,,,,,0,
1006,3,0,Share with others,,,,,,,,,,,,,0,
1006,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1006,3,0,Other (specify if other),,,,,,,,,,,,,0,
1006,6,0,Purchase food,,,,,,,,,,,,,,
1006,6,0,Education costs,,,,,,,,,,,,,,
1006,6,0,Purchase livestock,,,,,,,,,,,,,,
1006,6,0,Production or operating costs,,,,,,,,,,,,,,
1006,6,0,Health care expenses,,,,,,,,,,,,,,
1006,6,0,Social obligations,,,,,,,,,,,,,,
1006,6,0,Save,,,,,,,,,,,,,,
1006,6,0,Share with others,,,,,,,,,,,,,,
1006,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1006,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1006,6,0,Other (specify if other),,,,,,,,,,,,,,
1006,7,,,Other (specify),,,,,,,No,,,,,,
1006,7,,,Food for humans,,,,,,,No,,,,,,
1006,7,,,Water for humans,,,,,,,No,,,,,,
1006,7,,,Health services for humans,,,,,,,No,,,,,,
1006,7,,,Education/school fees,,,,,,,No,,,,,,
1006,7,,,Pay back debt,,,,,,,No,,,,,,
1006,7,,,Save,,,,,,,Yes,,,,,,
1006,7,,,Livestock purchases,,,,,,,No,,,,,,
1006,7,,,Livestock inputs: water,,,,,,,No,,,,,,
1006,7,,,Livestock inputs: forrage or fodder,,,,,,,No,,,,,,
1006,7,,,Livestock inputs: Vaccinate / vetrinary services,,,,,,,No,,,,,,
1006,7,,,Hiring labor for herding,,,,,,,No,,,,,,
1006,7,,,Livestock trucking\trekking\transportation,,,,,,,No,,,,,,
1006,7,,,Gave to others/ share,,,,,,,No,,,,,,
1006,7,,,"Ceremonies (e.g., weddings, funerals, religious events)",,,,,,,No,,,,,,
1007,3,0,Purchase food,,,,,,,,,,,,,0,
1007,3,0,Education costs,,,,,,,,,,,,,0,
1007,3,0,Purchase livestock,,,,,,,,,,,,,3000,
1007,3,0,Production or operating costs,,,,,,,,,,,,,0,
1007,3,0,Health care expenses,,,,,,,,,,,,,0,
1007,3,0,Social obligations,,,,,,,,,,,,,0,
1007,3,0,Save,,,,,,,,,,,,,0,
1007,3,0,Share with others,,,,,,,,,,,,,0,
1007,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1007,3,0,Other (specify if other),,,,,,,,,,,,,0,
1007,6,0,Purchase food,,,,,,,,,,,,,,
1007,6,0,Education costs,,,,,,,,,,,,,,
1007,6,0,Purchase livestock,,,,,,,,,,,,,,
1007,6,0,Production or operating costs,,,,,,,,,,,,,,
1007,6,0,Health care expenses,,,,,,,,,,,,,,
1007,6,0,Social obligations,,,,,,,,,,,,,,
1007,6,0,Save,,,,,,,,,,,,,,
1007,6,0,Share with others,,,,,,,,,,,,,,
1007,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1007,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1007,6,0,Other (specify if other),,,,,,,,,,,,,,
1008,3,0,Purchase food,,,,,,,,,,,,,1000,
1008,3,0,Education costs,,,,,,,,,,,,,1000,
1008,3,0,Purchase livestock,,,,,,,,,,,,,0,
1008,3,0,Production or operating costs,,,,,,,,,,,,,0,
1008,3,0,Health care expenses,,,,,,,,,,,,,0,
1008,3,0,Social obligations,,,,,,,,,,,,,0,
1008,3,0,Save,,,,,,,,,,,,,1000,
1008,3,0,Share with others,,,,,,,,,,,,,0,
1008,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1008,3,0,Other (specify if other),,,,,,,,,,,,,0,
1008,6,0,Purchase food,,,,,,,,,,,,,,
1008,6,0,Education costs,,,,,,,,,,,,,,
1008,6,0,Purchase livestock,,,,,,,,,,,,,,
1008,6,0,Production or operating costs,,,,,,,,,,,,,,
1008,6,0,Health care expenses,,,,,,,,,,,,,,
1008,6,0,Social obligations,,,,,,,,,,,,,,
1008,6,0,Save,,,,,,,,,,,,,,
1008,6,0,Share with others,,,,,,,,,,,,,,
1008,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1008,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1008,6,0,Other (specify if other),,,,,,,,,,,,,,
1008,7,,,Other (specify),,,,,,,No,,,,,,
1008,7,,,Food for humans,,,,,,,Yes,,,,,,
1008,7,,,Water for humans,,,,,,,No,,,,,,
1008,7,,,Health services for humans,,,,,,,No,,,,,,
1008,7,,,Education/school fees,,,,,,,No,,,,,,
1008,7,,,Pay back debt,,,,,,,No,,,,,,
1008,7,,,Save,,,,,,,No,,,,,,
1008,7,,,Livestock purchases,,,,,,,No,,,,,,
1008,7,,,Livestock inputs: water,,,,,,,No,,,,,,
1008,7,,,Livestock inputs: forrage or fodder,,,,,,,No,,,,,,
1008,7,,,Livestock inputs: Vaccinate / vetrinary services,,,,,,,No,,,,,,
1008,7,,,Hiring labor for herding,,,,,,,No,,,,,,
1008,7,,,Livestock trucking\trekking\transportation,,,,,,,No,,,,,,
1008,7,,,Gave to others/ share,,,,,,,No,,,,,,
1008,7,,,"Ceremonies (e.g., weddings, funerals, religious events)",,,,,,,No,,,,,,
1009,3,0,Purchase food,,,,,,,,,,,,,0,
1009,3,0,Education costs,,,,,,,,,,,,,0,
1009,3,0,Purchase livestock,,,,,,,,,,,,,0,
1009,3,0,Production or operating costs,,,,,,,,,,,,,3000,
1009,3,0,Health care expenses,,,,,,,,,,,,,0,
1009,3,0,Social obligations,,,,,,,,,,,,,0,
1009,3,0,Save,,,,,,,,,,,,,0,
