hhid,round,comment,CSID,CSID_r7,s15q45a,s15q45b,s15q45c,s15q46Ia,s15q46Ib,s15q46Ic,s15q51Ia,s15q51Ib,s15q51Ic,s15q46Ua,s15q46Ub,s15q46Uc,s15q51Ua,s15q51Ub,s15q51Uc,klip_payouts_change_coping,ibli_payouts_change_coping
1002,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,1,,Yes,2,,,
1002,3,0,Rely more on food aid,,Yes,1,,,,,,,,No,,,Yes,3,,,
1002,3,0,Rely on assistance from others,,No,,,,,,,,,Yes,2,,No,,,,
1002,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1002,3,0,Sell livestock,,Yes,3,,,,,,,,No,,,No,,,,
1002,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,Yes,3,,Yes,1,,,
1002,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1002,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
1002,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1002,7,,,No change,,,,,,,,,,,,,,,,,
1002,7,,,Migrate further,,,,,,,,,,,,,,,,,
1002,7,,,Migrate less,,,,,,,,,,,,,,,,,
1002,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1002,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1002,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1002,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1002,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1002,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1002,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1002,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1002,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1002,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1002,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1002,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1002,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1002,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1002,7,,,Other,,,,,,,,,,,,,,,,,
1003,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1003,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1003,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1003,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1003,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
