hhid,round,game,discount_jan_2010,discount_jan_2011,discount_aug_2011,discount_aug_2012,discount_jan_2013,discount_aug_2013
1002,2,0,0,,,,,
1002,3,,,0,30,,,
1002,4,,,,,60,,
1002,5,,,,,,0,0
1003,2,0,10,,,,,
1003,3,,,20,50,,,
1003,4,,,,,10,,
1003,5,,,,,,0,10
1004,2,0,50,,,,,
1004,3,,,20,20,,,
1004,4,,,,,50,,
1004,5,,,,,,0,80
1005,2,0,20,,,,,
1005,3,,,0,60,,,
1005,4,,,,,0,,
1005,5,,,,,,0,0
1006,2,0,0,,,,,
1006,3,,,50,60,,,
1006,4,,,,,20,,
1006,5,,,,,,30,80
1007,2,0,0,,,,,
1007,3,,,0,0,,,
1007,4,,,,,60,,
1007,5,,,,,,60,40
1008,2,0,40,,,,,
1008,3,,,30,30,,,
1008,4,,,,,50,,
1008,5,,,,,,0,70
1009,2,0,0,,,,,
1009,3,,,50,40,,,
1009,4,,,,,10,,
1009,5,,,,,,60,10
1010,2,0,0,,,,,
1010,3,,,40,0,,,
1010,4,,,,,30,,
1010,5,,,,,,0,40
1011,2,0,30,,,,,
1011,3,,,0,0,,,
1011,4,,,,,0,,
1011,5,,,,,,0,20
1012,2,0,40,,,,,
1012,3,,,30,20,,,
1012,4,,,,,40,,
1012,5,,,,,,10,30
1013,2,0,10,,,,,
1013,3,,,50,10,,,
1013,4,,,,,30,,
1013,5,,,,,,40,80
1014,2,0,50,,,,,
1014,3,,,60,0,,,
1014,4,,,,,60,,
1014,5,,,,,,0,0
1015,2,0,0,,,,,
1015,3,,,20,50,,,
1015,4,,,,,10,,
1015,5,,,,,,40,0
1016,2,0,30,,,,,
1016,3,,,0,0,,,
1016,4,,,,,0,,
1016,5,,,,,,0,20
1017,2,0,10,,,,,
1017,3,,,30,40,,,
1017,4,,,,,0,,
1017,5,,,,,,10,0
1018,2,0,0,,,,,
1018,3,,,50,60,,,
1018,4,,,,,0,,
1018,5,,,,,,10,40
1019,2,0,60,,,,,
1019,3,,,0,0,,,
1019,4,,,,,30,,
1019,5,,,,,,0,50
1020,2,0,60,,,,,
1020,3,,,60,20,,,
1021,2,0,0,,,,,
1021,3,,,60,30,,,
1021,4,,,,,50,,
1021,5,,,,,,40,60
1022,2,0,0,,,,,
1022,3,,,40,30,,,
1022,4,,,,,40,,
1022,5,,,,,,50,20
1023,2,0,0,,,,,
1023,3,,,0,10,,,
1023,4,,,,,40,,
1023,5,,,,,,50,40
1024,2,0,40,,,,,
1024,3,,,0,20,,,
1024,4,,,,,40,,
1024,5,,,,,,20,0
1025,2,0,40,,,,,
1025,3,,,0,0,,,
1025,4,,,,,0,,
1025,5,,,,,,60,20
1026,2,0,0,,,,,
1026,3,,,10,40,,,
1026,4,,,,,20,,
1026,5,,,,,,50,50
1027,2,0,10,,,,,
1027,3,,,0,0,,,
1027,4,,,,,0,,
1027,5,,,,,,0,40
1029,2,0,20,,,,,
1029,3,,,30,50,,,
1029,4,,,,,30,,
1029,5,,,,,,0,60
1031,2,0,60,,,,,
1031,3,,,40,40,,,
1031,4,,,,,0,,
1031,5,,,,,,20,10
1032,2,0,30,,,,,
1032,3,,,0,0,,,
1032,4,,,,,0,,
1032,5,,,,,,0,80
1033,2,0,0,,,,,
1033,3,,,0,0,,,
1033,4,,,,,20,,
1033,5,,,,,,60,80
1034,2,0,20,,,,,
1034,3,,,0,50,,,
1034,4,,,,,60,,
1034,5,,,,,,30,0
1035,2,0,0,,,,,
1035,3,,,0,0,,,
1035,4,,,,,0,,
1035,5,,,,,,0,30
1036,2,0,50,,,,,
1036,3,,,0,0,,,
1036,4,,,,,0,,
1036,5,,,,,,10,50
1037,2,0,0,,,,,
1037,3,,,0,0,,,
1037,4,,,,,0,,
1037,5,,,,,,0,30
1038,2,0,0,,,,,
1038,3,,,10,0,,,
1038,4,,,,,20,,
1038,5,,,,,,30,30
1039,2,0,20,,,,,
1039,3,,,20,60,,,
1039,4,,,,,50,,
1039,5,,,,,,20,70
1042,4,,,,,0,,
1042,5,,,,,,30,50
1043,2,0,30,,,,,
1043,3,,,10,0,,,
1043,4,,,,,0,,
1043,5,,,,,,50,0
1045,2,0,60,,,,,
1045,3,,,10,10,,,
1045,4,,,,,0,,
1045,5,,,,,,40,70
1047,2,0,0,,,,,
1047,3,,,40,10,,,
1047,4,,,,,0,,
1047,5,,,,,,20,60
2001,2,1,40,,,,,
2001,3,,,30,0,,,
2001,4,,,,,60,,
2001,5,,,,,,0,0
2002,2,1,50,,,,,
2002,3,,,40,50,,,
2002,4,,,,,0,,
2002,5,,,,,,0,60
2003,2,0,50,,,,,
2004,2,1,0,,,,,
