hhid,round,comment,memberid,s2q2,s2q3,s2q5,s2q27,s2q20,s2q20b,s2q17,s2q17b,s2q18,s2q4b,s2q4a,s2q6,s2q7,s2q8a,s2q8b,s2q8c,s2q24,s2q21,s2q22,s2q23a,s2q23b,s2q23c,s2q23d,s2q23e,s2q9,s2q10,s2q11,s2q12,s2q13,s2q14,s2q25a,s2q25,s2q25a_r6,s2q25_r6,s2q26,s2q28,s2q29,s2q29a,s2q30,s2q31,s2q31b,s2q31c,s2q32,s2q32b,s2q32c
1002,1,,1,Male,48,Head,,,,,,,,,Married,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1,,2,Female,35,Spouse/consensual partner,,,,,,,,,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1,,3,Female,15,Son/daughter,,,,,,,,,Never married,,,,,,,,,,,,,Yes,Yes,1,Yes,Yes,2,,,,,,,,,,,,,,,
1002,1,,4,Female,13,Son/daughter,,,,,,,,,Never married,,,,,,,,,,,,,Yes,Yes,1,Yes,Yes,2,,,,,,,,,,,,,,,
1002,1,,5,Female,11,Son/daughter,,,,,,,,,Never married,,,,,,,,,,,,,Yes,Yes,1,Yes,Yes,2,,,,,,,,,,,,,,,
1002,1,,6,Male,9,Uncle/aunt,,,,,,,,,Never married,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,
1002,1,,7,Female,5,Son/daughter,,,,,,,2004,December,Never married,,,,,,,,,,,,,Yes,Yes,1,Yes,Yes,2,,,,,,,,,,,,,,,
1002,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,3,0,1,Male,50,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,2,Female,37,Spouse/consensual partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,3,Female,17,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,4,Female,15,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,5,Female,13,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,6,Male,11,Uncle/aunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,7,Female,7,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,4,0,1,Male,51,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,4,0,2,Female,38,Spouse/consensual partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,4,0,3,Female,18,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,4,0,4,Female,16,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
1002,4,0,5,Female,14,Son/daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
