hhid,round,rcsi_1,rcsi_2,rcsi_3,rcsi_4,rcsi_5,hhs_1,hhs_2,hhs_3,resilience_1,data_quality_cons_fs
1002,7,1,0,2,0,2,Rarely,Sometimes,Rarely,Struggling,Acceptable
1003,7,2,0,4,2,1,Never,Rarely,Never,Struggling,Acceptable
1004,7,0,0,0,0,0,Never,Never,Never,Sustainable,Good
1005,7,2,0,2,5,0,Never,Rarely,Never,Struggling,Acceptable
1006,7,0,0,0,0,0,Never,Never,Never,Viable,Acceptable
1007,7,0,0,0,0,0,Never,Never,Never,Viable,Good
1008,7,2,0,0,0,0,Never,Never,Never,Viable,Acceptable
1009,7,2,0,0,0,0,Never,Never,Never,Viable,Acceptable
1010,7,0,0,0,0,0,Never,Never,Never,Viable,Good
1011,7,2,0,0,0,0,Never,Never,Never,Struggling,Acceptable
1012,7,5,2,1,0,0,Never,Never,Never,Struggling,Acceptable
1013,7,1,1,2,0,1,Never,Never,Never,Struggling,Good
1014,7,0,0,0,0,0,Never,Never,Never,Viable,Good
1015,7,2,0,3,3,3,Never,Rarely,Never,Destitute,Acceptable
1016,7,4,2,4,4,4,Sometimes,Sometimes,Sometimes,Struggling,Acceptable
1017,7,2,2,2,2,2,Never,Never,Never,Struggling,Acceptable
1018,7,0,0,0,0,0,Never,Never,Never,Struggling,Acceptable
1019,7,6,5,1,0,0,Never,Never,Never,Struggling,Good
1020,7,0,0,0,0,0,Never,Never,Never,Sustainable,Good
1021,7,3,2,7,0,0,Never,Never,Never,Viable,Acceptable
1022,7,0,0,0,0,0,Never,Never,Never,Viable,Acceptable
1023,7,3,0,0,0,0,Never,Never,Never,Struggling,Acceptable
1024,7,2,0,2,0,1,Rarely,Never,Never,Struggling,Acceptable
1025,7,5,0,4,4,3,Sometimes,Rarely,Sometimes,Struggling,Acceptable
1026,7,0,0,0,0,0,Never,Never,Never,Struggling,Acceptable
1029,7,0,0,0,0,0,Never,Never,Never,Struggling,Good
1031,7,2,0,0,0,0,Never,Never,Never,Viable,Acceptable
1032,7,1,0,2,0,0,Never,Rarely,Never,Struggling,Acceptable
1033,7,0,0,0,0,0,Never,Never,Never,Sustainable,Good
1034,7,4,0,0,0,0,Never,Never,Never,Viable,Acceptable
1035,7,0,0,0,0,0,Never,Never,Never,Sustainable,Good
1036,7,0,0,0,0,0,Never,Never,Never,Viable,Good
1037,7,2,1,0,0,0,Never,Never,Never,Viable,Acceptable
1038,7,0,0,0,0,0,Never,Never,Never,Sustainable,Good
1039,7,0,0,0,0,0,Never,Never,Never,Sustainable,Good
1042,7,0,0,0,0,0,Never,Never,Never,Viable,Good
1045,7,3,1,0,0,0,Never,Never,Never,Destitute,Acceptable
1047,7,3,0,2,2,2,Never,Never,Never,Viable,Acceptable
2001,7,0,0,0,0,0,Never,Never,Never,Viable,Acceptable
2002,7,0,0,0,0,0,Never,Never,Never,Viable,Good
2003,7,0,0,0,0,0,Never,Never,Never,Struggling,Acceptable
2004,7,4,0,2,4,2,Never,Never,Never,Struggling,Acceptable
2005,7,5,5,4,0,0,Never,Never,Never,Struggling,Acceptable
