hhid,round,memberid,comment,skip_s3_new,skip_s3_old,hv_s3q24,s3q1,s3q2,s3q3,s3q3b,s3q4,s3q5,s3q6,s3q6b,s3q7,s3q7a,s3q7b,s3q8,s3q8b,s3q9a,s3q9b,s3q10,s3q11,s3q12,s3q12b,s3q13,s3q14,s3q14a,s3q14a1,s3q14b,s3q15,s3q16,s3q17,s3q17b,s3q18,s3q19,s3q19b,s3q20,s3q21,s3q22,s3q22b,s3q23,s3q24
1002,1,1,,0,,,Yes,Yes,,,Government,8,Diploma,,No,,,completed,,22,,,,,,,,,,,,,,,,,,,,,,,
1002,1,2,,0,,,Yes,Yes,,,Government,7,Standard 8,,No,,,completed,,18,,,,,,,,,,,,,,,,,,,,,,,
1002,1,3,,0,,,Yes,Yes,,,Government,7,Standard 7,,Yes,,,,,,,Yes,Yes,illness of [Name],,10,,,,,,,,,,,,,,,,,
1002,1,4,,0,,,Yes,Yes,,,Government,7,Standard 6,,Yes,,,,,,,Yes,Yes,illness of [Name],,10,,,,,,,,,,,,,,,,,
1002,1,5,,0,,,Yes,Yes,,,Government,7,Standard 4,,Yes,,,,,,,Yes,Yes,illness of [Name],,15,,,,,,,,,,,,,,,,,
1002,1,6,,0,,,No,Yes,,,Government,7,Standard 2,,Yes,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,
1002,1,7,,1,,,.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,2,1,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1002,2,2,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1002,2,3,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1002,2,4,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1002,2,5,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1002,2,6,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1002,3,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1002,3,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1002,3,3,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,illness of [Name],,5,yes
1002,3,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1002,3,5,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,yes,illness of [Name],,yes,Government,,yes,yes,illness of [Name],,66,yes
1002,3,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1002,3,7,0,1,0,unknown,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,yes,Government,,yes,no,,,,
1002,4,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1002,4,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1002,4,3,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1002,4,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1002,4,5,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1002,4,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1002,4,7,0,1,0,unknown,,,,,,,,,,,,,,,,,,,,,no,,,,yes,no,,,,Government,,yes,yes,teacher absent,,15,
1002,5,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1002,5,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1002,5,3,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,illness of [Name],,16,yes
1002,5,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,illness of [Name],,24,yes
1002,5,5,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,no,yes,illness of [Name],,48,yes
1002,5,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1002,5,7,0,1,0,unknown,,,,,,,,,,,,,,,,,,,,,no,,,,yes,no,,,,Government,,yes,no,,,,
1002,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Form 4,no,,,,no,,.,,,,,,
1002,6,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 8,no,,,,no,,.,,,,,,
1002,6,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Form 1,yes,no,,,,Government,.,no,no,,,,
1002,6,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 8,yes,no,,,,Government,.,no,no,,,,
1002,6,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 6,yes,no,,,,Government,.,yes,no,,,,
1002,6,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 5,yes,no,,,,Private - other,.,no,no,,,,
1002,6,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 2,yes,no,,,,Government,.,yes,no,,,,
